FieldID	Field
x25263_0_0	Mean L2 in cerebral peduncle on FA skeleton (left)|x25263_0_0
x25264_0_0	Mean L2 in anterior limb of internal capsule on FA skeleton (right)|x25264_0_0
x25265_0_0	Mean L2 in anterior limb of internal capsule on FA skeleton (left)|x25265_0_0
x25266_0_0	Mean L2 in posterior limb of internal capsule on FA skeleton (right)|x25266_0_0
x25267_0_0	Mean L2 in posterior limb of internal capsule on FA skeleton (left)|x25267_0_0
x25268_0_0	Mean L2 in retrolenticular part of internal capsule on FA skeleton (right)|x25268_0_0
x25269_0_0	Mean L2 in retrolenticular part of internal capsule on FA skeleton (left)|x25269_0_0
x25270_0_0	Mean L2 in anterior corona radiata on FA skeleton (right)|x25270_0_0
x25271_0_0	Mean L2 in anterior corona radiata on FA skeleton (left)|x25271_0_0
x25272_0_0	Mean L2 in superior corona radiata on FA skeleton (right)|x25272_0_0
x25273_0_0	Mean L2 in superior corona radiata on FA skeleton (left)|x25273_0_0
x25274_0_0	Mean L2 in posterior corona radiata on FA skeleton (right)|x25274_0_0
x25275_0_0	Mean L2 in posterior corona radiata on FA skeleton (left)|x25275_0_0
x25276_0_0	Mean L2 in posterior thalamic radiation on FA skeleton (right)|x25276_0_0
x25277_0_0	Mean L2 in posterior thalamic radiation on FA skeleton (left)|x25277_0_0
x25278_0_0	Mean L2 in sagittal stratum on FA skeleton (right)|x25278_0_0
x25279_0_0	Mean L2 in sagittal stratum on FA skeleton (left)|x25279_0_0
x25280_0_0	Mean L2 in external capsule on FA skeleton (right)|x25280_0_0
x25281_0_0	Mean L2 in external capsule on FA skeleton (left)|x25281_0_0
x25282_0_0	Mean L2 in cingulum cingulate gyrus on FA skeleton (right)|x25282_0_0
x25283_0_0	Mean L2 in cingulum cingulate gyrus on FA skeleton (left)|x25283_0_0
x25284_0_0	Mean L2 in cingulum hippocampus on FA skeleton (right)|x25284_0_0
x25285_0_0	Mean L2 in cingulum hippocampus on FA skeleton (left)|x25285_0_0
x25286_0_0	Mean L2 in fornix cres+stria terminalis on FA skeleton (right)|x25286_0_0
x25287_0_0	Mean L2 in fornix cres+stria terminalis on FA skeleton (left)|x25287_0_0
x25288_0_0	Mean L2 in superior longitudinal fasciculus on FA skeleton (right)|x25288_0_0
x25289_0_0	Mean L2 in superior longitudinal fasciculus on FA skeleton (left)|x25289_0_0
x25290_0_0	Mean L2 in superior fronto-occipital fasciculus on FA skeleton (right)|x25290_0_0
x25291_0_0	Mean L2 in superior fronto-occipital fasciculus on FA skeleton (left)|x25291_0_0
x25292_0_0	Mean L2 in uncinate fasciculus on FA skeleton (right)|x25292_0_0
x25293_0_0	Mean L2 in uncinate fasciculus on FA skeleton (left)|x25293_0_0
x25294_0_0	Mean L2 in tapetum on FA skeleton (right)|x25294_0_0
x25295_0_0	Mean L2 in tapetum on FA skeleton (left)|x25295_0_0
x25296_0_0	Mean L3 in middle cerebellar peduncle on FA skeleton|x25296_0_0
x25297_0_0	Mean L3 in pontine crossing tract on FA skeleton|x25297_0_0
x25298_0_0	Mean L3 in genu of corpus callosum on FA skeleton|x25298_0_0
x25299_0_0	Mean L3 in body of corpus callosum on FA skeleton|x25299_0_0
x25300_0_0	Mean L3 in splenium of corpus callosum on FA skeleton|x25300_0_0
x25301_0_0	Mean L3 in fornix on FA skeleton|x25301_0_0
x25302_0_0	Mean L3 in corticospinal tract on FA skeleton (right)|x25302_0_0
x25303_0_0	Mean L3 in corticospinal tract on FA skeleton (left)|x25303_0_0
x25304_0_0	Mean L3 in medial lemniscus on FA skeleton (right)|x25304_0_0
x25305_0_0	Mean L3 in medial lemniscus on FA skeleton (left)|x25305_0_0
x25306_0_0	Mean L3 in inferior cerebellar peduncle on FA skeleton (right)|x25306_0_0
x25307_0_0	Mean L3 in inferior cerebellar peduncle on FA skeleton (left)|x25307_0_0
x25308_0_0	Mean L3 in superior cerebellar peduncle on FA skeleton (right)|x25308_0_0
x25309_0_0	Mean L3 in superior cerebellar peduncle on FA skeleton (left)|x25309_0_0
x25310_0_0	Mean L3 in cerebral peduncle on FA skeleton (right)|x25310_0_0
x25311_0_0	Mean L3 in cerebral peduncle on FA skeleton (left)|x25311_0_0
x25312_0_0	Mean L3 in anterior limb of internal capsule on FA skeleton (right)|x25312_0_0
x25313_0_0	Mean L3 in anterior limb of internal capsule on FA skeleton (left)|x25313_0_0
x25314_0_0	Mean L3 in posterior limb of internal capsule on FA skeleton (right)|x25314_0_0
x25315_0_0	Mean L3 in posterior limb of internal capsule on FA skeleton (left)|x25315_0_0
x25316_0_0	Mean L3 in retrolenticular part of internal capsule on FA skeleton (right)|x25316_0_0
x25317_0_0	Mean L3 in retrolenticular part of internal capsule on FA skeleton (left)|x25317_0_0
x25318_0_0	Mean L3 in anterior corona radiata on FA skeleton (right)|x25318_0_0
x25319_0_0	Mean L3 in anterior corona radiata on FA skeleton (left)|x25319_0_0
x25320_0_0	Mean L3 in superior corona radiata on FA skeleton (right)|x25320_0_0
x25321_0_0	Mean L3 in superior corona radiata on FA skeleton (left)|x25321_0_0
x25322_0_0	Mean L3 in posterior corona radiata on FA skeleton (right)|x25322_0_0
x25323_0_0	Mean L3 in posterior corona radiata on FA skeleton (left)|x25323_0_0
x25324_0_0	Mean L3 in posterior thalamic radiation on FA skeleton (right)|x25324_0_0
x25325_0_0	Mean L3 in posterior thalamic radiation on FA skeleton (left)|x25325_0_0
x25326_0_0	Mean L3 in sagittal stratum on FA skeleton (right)|x25326_0_0
x25327_0_0	Mean L3 in sagittal stratum on FA skeleton (left)|x25327_0_0
x25328_0_0	Mean L3 in external capsule on FA skeleton (right)|x25328_0_0
x25329_0_0	Mean L3 in external capsule on FA skeleton (left)|x25329_0_0
x25330_0_0	Mean L3 in cingulum cingulate gyrus on FA skeleton (right)|x25330_0_0
x25331_0_0	Mean L3 in cingulum cingulate gyrus on FA skeleton (left)|x25331_0_0
x25332_0_0	Mean L3 in cingulum hippocampus on FA skeleton (right)|x25332_0_0
x25333_0_0	Mean L3 in cingulum hippocampus on FA skeleton (left)|x25333_0_0
x25334_0_0	Mean L3 in fornix cres+stria terminalis on FA skeleton (right)|x25334_0_0
x25335_0_0	Mean L3 in fornix cres+stria terminalis on FA skeleton (left)|x25335_0_0
x25336_0_0	Mean L3 in superior longitudinal fasciculus on FA skeleton (right)|x25336_0_0
x25337_0_0	Mean L3 in superior longitudinal fasciculus on FA skeleton (left)|x25337_0_0
x25338_0_0	Mean L3 in superior fronto-occipital fasciculus on FA skeleton (right)|x25338_0_0
x25339_0_0	Mean L3 in superior fronto-occipital fasciculus on FA skeleton (left)|x25339_0_0
x25340_0_0	Mean L3 in uncinate fasciculus on FA skeleton (right)|x25340_0_0
x25341_0_0	Mean L3 in uncinate fasciculus on FA skeleton (left)|x25341_0_0
x25342_0_0	Mean L3 in tapetum on FA skeleton (right)|x25342_0_0
x25343_0_0	Mean L3 in tapetum on FA skeleton (left)|x25343_0_0
x25344_0_0	Mean ICVF in middle cerebellar peduncle on FA skeleton|x25344_0_0
x25345_0_0	Mean ICVF in pontine crossing tract on FA skeleton|x25345_0_0
x25346_0_0	Mean ICVF in genu of corpus callosum on FA skeleton|x25346_0_0
x25347_0_0	Mean ICVF in body of corpus callosum on FA skeleton|x25347_0_0
x25348_0_0	Mean ICVF in splenium of corpus callosum on FA skeleton|x25348_0_0
x25349_0_0	Mean ICVF in fornix on FA skeleton|x25349_0_0
x25350_0_0	Mean ICVF in corticospinal tract on FA skeleton (right)|x25350_0_0
x25351_0_0	Mean ICVF in corticospinal tract on FA skeleton (left)|x25351_0_0
x25352_0_0	Mean ICVF in medial lemniscus on FA skeleton (right)|x25352_0_0
x25353_0_0	Mean ICVF in medial lemniscus on FA skeleton (left)|x25353_0_0
x25354_0_0	Mean ICVF in inferior cerebellar peduncle on FA skeleton (right)|x25354_0_0
x25355_0_0	Mean ICVF in inferior cerebellar peduncle on FA skeleton (left)|x25355_0_0
x25356_0_0	Mean ICVF in superior cerebellar peduncle on FA skeleton (right)|x25356_0_0
x25357_0_0	Mean ICVF in superior cerebellar peduncle on FA skeleton (left)|x25357_0_0
x25358_0_0	Mean ICVF in cerebral peduncle on FA skeleton (right)|x25358_0_0
x25359_0_0	Mean ICVF in cerebral peduncle on FA skeleton (left)|x25359_0_0
x25360_0_0	Mean ICVF in anterior limb of internal capsule on FA skeleton (right)|x25360_0_0
x25361_0_0	Mean ICVF in anterior limb of internal capsule on FA skeleton (left)|x25361_0_0
x25362_0_0	Mean ICVF in posterior limb of internal capsule on FA skeleton (right)|x25362_0_0
x25363_0_0	Mean ICVF in posterior limb of internal capsule on FA skeleton (left)|x25363_0_0
x25364_0_0	Mean ICVF in retrolenticular part of internal capsule on FA skeleton (right)|x25364_0_0
x25365_0_0	Mean ICVF in retrolenticular part of internal capsule on FA skeleton (left)|x25365_0_0
x25366_0_0	Mean ICVF in anterior corona radiata on FA skeleton (right)|x25366_0_0
x25367_0_0	Mean ICVF in anterior corona radiata on FA skeleton (left)|x25367_0_0
x25368_0_0	Mean ICVF in superior corona radiata on FA skeleton (right)|x25368_0_0
x25369_0_0	Mean ICVF in superior corona radiata on FA skeleton (left)|x25369_0_0
x25370_0_0	Mean ICVF in posterior corona radiata on FA skeleton (right)|x25370_0_0
x25371_0_0	Mean ICVF in posterior corona radiata on FA skeleton (left)|x25371_0_0
x25372_0_0	Mean ICVF in posterior thalamic radiation on FA skeleton (right)|x25372_0_0
x25373_0_0	Mean ICVF in posterior thalamic radiation on FA skeleton (left)|x25373_0_0
x25374_0_0	Mean ICVF in sagittal stratum on FA skeleton (right)|x25374_0_0
x25375_0_0	Mean ICVF in sagittal stratum on FA skeleton (left)|x25375_0_0
x25376_0_0	Mean ICVF in external capsule on FA skeleton (right)|x25376_0_0
x25377_0_0	Mean ICVF in external capsule on FA skeleton (left)|x25377_0_0
x25378_0_0	Mean ICVF in cingulum cingulate gyrus on FA skeleton (right)|x25378_0_0
x25379_0_0	Mean ICVF in cingulum cingulate gyrus on FA skeleton (left)|x25379_0_0
x25380_0_0	Mean ICVF in cingulum hippocampus on FA skeleton (right)|x25380_0_0
x25381_0_0	Mean ICVF in cingulum hippocampus on FA skeleton (left)|x25381_0_0
x25382_0_0	Mean ICVF in fornix cres+stria terminalis on FA skeleton (right)|x25382_0_0
x25383_0_0	Mean ICVF in fornix cres+stria terminalis on FA skeleton (left)|x25383_0_0
x25384_0_0	Mean ICVF in superior longitudinal fasciculus on FA skeleton (right)|x25384_0_0
x25385_0_0	Mean ICVF in superior longitudinal fasciculus on FA skeleton (left)|x25385_0_0
x25386_0_0	Mean ICVF in superior fronto-occipital fasciculus on FA skeleton (right)|x25386_0_0
x25387_0_0	Mean ICVF in superior fronto-occipital fasciculus on FA skeleton (left)|x25387_0_0
x25388_0_0	Mean ICVF in uncinate fasciculus on FA skeleton (right)|x25388_0_0
x25389_0_0	Mean ICVF in uncinate fasciculus on FA skeleton (left)|x25389_0_0
x25390_0_0	Mean ICVF in tapetum on FA skeleton (right)|x25390_0_0
x25391_0_0	Mean ICVF in tapetum on FA skeleton (left)|x25391_0_0
x25392_0_0	Mean OD in middle cerebellar peduncle on FA skeleton|x25392_0_0
x25393_0_0	Mean OD in pontine crossing tract on FA skeleton|x25393_0_0
x25394_0_0	Mean OD in genu of corpus callosum on FA skeleton|x25394_0_0
x25395_0_0	Mean OD in body of corpus callosum on FA skeleton|x25395_0_0
x25396_0_0	Mean OD in splenium of corpus callosum on FA skeleton|x25396_0_0
x25397_0_0	Mean OD in fornix on FA skeleton|x25397_0_0
x25398_0_0	Mean OD in corticospinal tract on FA skeleton (right)|x25398_0_0
x25399_0_0	Mean OD in corticospinal tract on FA skeleton (left)|x25399_0_0
x25400_0_0	Mean OD in medial lemniscus on FA skeleton (right)|x25400_0_0
x25401_0_0	Mean OD in medial lemniscus on FA skeleton (left)|x25401_0_0
x25402_0_0	Mean OD in inferior cerebellar peduncle on FA skeleton (right)|x25402_0_0
x25403_0_0	Mean OD in inferior cerebellar peduncle on FA skeleton (left)|x25403_0_0
x25404_0_0	Mean OD in superior cerebellar peduncle on FA skeleton (right)|x25404_0_0
x25405_0_0	Mean OD in superior cerebellar peduncle on FA skeleton (left)|x25405_0_0
x25406_0_0	Mean OD in cerebral peduncle on FA skeleton (right)|x25406_0_0
x25407_0_0	Mean OD in cerebral peduncle on FA skeleton (left)|x25407_0_0
x25408_0_0	Mean OD in anterior limb of internal capsule on FA skeleton (right)|x25408_0_0
x25409_0_0	Mean OD in anterior limb of internal capsule on FA skeleton (left)|x25409_0_0
x25410_0_0	Mean OD in posterior limb of internal capsule on FA skeleton (right)|x25410_0_0
x25411_0_0	Mean OD in posterior limb of internal capsule on FA skeleton (left)|x25411_0_0
x25412_0_0	Mean OD in retrolenticular part of internal capsule on FA skeleton (right)|x25412_0_0
x25413_0_0	Mean OD in retrolenticular part of internal capsule on FA skeleton (left)|x25413_0_0
x25414_0_0	Mean OD in anterior corona radiata on FA skeleton (right)|x25414_0_0
x25415_0_0	Mean OD in anterior corona radiata on FA skeleton (left)|x25415_0_0
x25416_0_0	Mean OD in superior corona radiata on FA skeleton (right)|x25416_0_0
x25417_0_0	Mean OD in superior corona radiata on FA skeleton (left)|x25417_0_0
x25418_0_0	Mean OD in posterior corona radiata on FA skeleton (right)|x25418_0_0
x25419_0_0	Mean OD in posterior corona radiata on FA skeleton (left)|x25419_0_0
x25420_0_0	Mean OD in posterior thalamic radiation on FA skeleton (right)|x25420_0_0
x25421_0_0	Mean OD in posterior thalamic radiation on FA skeleton (left)|x25421_0_0
x25422_0_0	Mean OD in sagittal stratum on FA skeleton (right)|x25422_0_0
x25423_0_0	Mean OD in sagittal stratum on FA skeleton (left)|x25423_0_0
x25424_0_0	Mean OD in external capsule on FA skeleton (right)|x25424_0_0
x25425_0_0	Mean OD in external capsule on FA skeleton (left)|x25425_0_0
x25426_0_0	Mean OD in cingulum cingulate gyrus on FA skeleton (right)|x25426_0_0
x25427_0_0	Mean OD in cingulum cingulate gyrus on FA skeleton (left)|x25427_0_0
x25428_0_0	Mean OD in cingulum hippocampus on FA skeleton (right)|x25428_0_0
x25429_0_0	Mean OD in cingulum hippocampus on FA skeleton (left)|x25429_0_0
x25430_0_0	Mean OD in fornix cres+stria terminalis on FA skeleton (right)|x25430_0_0
x25431_0_0	Mean OD in fornix cres+stria terminalis on FA skeleton (left)|x25431_0_0
x25432_0_0	Mean OD in superior longitudinal fasciculus on FA skeleton (right)|x25432_0_0
x25433_0_0	Mean OD in superior longitudinal fasciculus on FA skeleton (left)|x25433_0_0
x25434_0_0	Mean OD in superior fronto-occipital fasciculus on FA skeleton (right)|x25434_0_0
x25435_0_0	Mean OD in superior fronto-occipital fasciculus on FA skeleton (left)|x25435_0_0
x25436_0_0	Mean OD in uncinate fasciculus on FA skeleton (right)|x25436_0_0
x25437_0_0	Mean OD in uncinate fasciculus on FA skeleton (left)|x25437_0_0
x25438_0_0	Mean OD in tapetum on FA skeleton (right)|x25438_0_0
x25439_0_0	Mean OD in tapetum on FA skeleton (left)|x25439_0_0
x25440_0_0	Mean ISOVF in middle cerebellar peduncle on FA skeleton|x25440_0_0
x25441_0_0	Mean ISOVF in pontine crossing tract on FA skeleton|x25441_0_0
x25442_0_0	Mean ISOVF in genu of corpus callosum on FA skeleton|x25442_0_0
x25443_0_0	Mean ISOVF in body of corpus callosum on FA skeleton|x25443_0_0
x25444_0_0	Mean ISOVF in splenium of corpus callosum on FA skeleton|x25444_0_0
x25445_0_0	Mean ISOVF in fornix on FA skeleton|x25445_0_0
x25446_0_0	Mean ISOVF in corticospinal tract on FA skeleton (right)|x25446_0_0
x25447_0_0	Mean ISOVF in corticospinal tract on FA skeleton (left)|x25447_0_0
x25448_0_0	Mean ISOVF in medial lemniscus on FA skeleton (right)|x25448_0_0
x25449_0_0	Mean ISOVF in medial lemniscus on FA skeleton (left)|x25449_0_0
x25450_0_0	Mean ISOVF in inferior cerebellar peduncle on FA skeleton (right)|x25450_0_0
x25451_0_0	Mean ISOVF in inferior cerebellar peduncle on FA skeleton (left)|x25451_0_0
x25452_0_0	Mean ISOVF in superior cerebellar peduncle on FA skeleton (right)|x25452_0_0
x25453_0_0	Mean ISOVF in superior cerebellar peduncle on FA skeleton (left)|x25453_0_0
x25454_0_0	Mean ISOVF in cerebral peduncle on FA skeleton (right)|x25454_0_0
x25455_0_0	Mean ISOVF in cerebral peduncle on FA skeleton (left)|x25455_0_0
x25456_0_0	Mean ISOVF in anterior limb of internal capsule on FA skeleton (right)|x25456_0_0
x25457_0_0	Mean ISOVF in anterior limb of internal capsule on FA skeleton (left)|x25457_0_0
x25458_0_0	Mean ISOVF in posterior limb of internal capsule on FA skeleton (right)|x25458_0_0
x25459_0_0	Mean ISOVF in posterior limb of internal capsule on FA skeleton (left)|x25459_0_0
x25460_0_0	Mean ISOVF in retrolenticular part of internal capsule on FA skeleton (right)|x25460_0_0
x25461_0_0	Mean ISOVF in retrolenticular part of internal capsule on FA skeleton (left)|x25461_0_0
x25462_0_0	Mean ISOVF in anterior corona radiata on FA skeleton (right)|x25462_0_0
x25463_0_0	Mean ISOVF in anterior corona radiata on FA skeleton (left)|x25463_0_0
x25464_0_0	Mean ISOVF in superior corona radiata on FA skeleton (right)|x25464_0_0
x25465_0_0	Mean ISOVF in superior corona radiata on FA skeleton (left)|x25465_0_0
x25466_0_0	Mean ISOVF in posterior corona radiata on FA skeleton (right)|x25466_0_0
x25467_0_0	Mean ISOVF in posterior corona radiata on FA skeleton (left)|x25467_0_0
x25468_0_0	Mean ISOVF in posterior thalamic radiation on FA skeleton (right)|x25468_0_0
x25469_0_0	Mean ISOVF in posterior thalamic radiation on FA skeleton (left)|x25469_0_0
x25470_0_0	Mean ISOVF in sagittal stratum on FA skeleton (right)|x25470_0_0
x25471_0_0	Mean ISOVF in sagittal stratum on FA skeleton (left)|x25471_0_0
x25472_0_0	Mean ISOVF in external capsule on FA skeleton (right)|x25472_0_0
x25473_0_0	Mean ISOVF in external capsule on FA skeleton (left)|x25473_0_0
x25474_0_0	Mean ISOVF in cingulum cingulate gyrus on FA skeleton (right)|x25474_0_0
x25475_0_0	Mean ISOVF in cingulum cingulate gyrus on FA skeleton (left)|x25475_0_0
x25476_0_0	Mean ISOVF in cingulum hippocampus on FA skeleton (right)|x25476_0_0
x25477_0_0	Mean ISOVF in cingulum hippocampus on FA skeleton (left)|x25477_0_0
x25478_0_0	Mean ISOVF in fornix cres+stria terminalis on FA skeleton (right)|x25478_0_0
x25479_0_0	Mean ISOVF in fornix cres+stria terminalis on FA skeleton (left)|x25479_0_0
x25480_0_0	Mean ISOVF in superior longitudinal fasciculus on FA skeleton (right)|x25480_0_0
x25481_0_0	Mean ISOVF in superior longitudinal fasciculus on FA skeleton (left)|x25481_0_0
x25482_0_0	Mean ISOVF in superior fronto-occipital fasciculus on FA skeleton (right)|x25482_0_0
x25483_0_0	Mean ISOVF in superior fronto-occipital fasciculus on FA skeleton (left)|x25483_0_0
x25484_0_0	Mean ISOVF in uncinate fasciculus on FA skeleton (right)|x25484_0_0
x25485_0_0	Mean ISOVF in uncinate fasciculus on FA skeleton (left)|x25485_0_0
x25486_0_0	Mean ISOVF in tapetum on FA skeleton (right)|x25486_0_0
x25487_0_0	Mean ISOVF in tapetum on FA skeleton (left)|x25487_0_0
x25488_0_0	Weighted-mean FA in tract acoustic radiation (left)|x25488_0_0
x25489_0_0	Weighted-mean FA in tract acoustic radiation (right)|x25489_0_0
x25490_0_0	Weighted-mean FA in tract anterior thalamic radiation (left)|x25490_0_0
x25491_0_0	Weighted-mean FA in tract anterior thalamic radiation (right)|x25491_0_0
x25492_0_0	Weighted-mean FA in tract cingulate gyrus part of cingulum (left)|x25492_0_0
x25493_0_0	Weighted-mean FA in tract cingulate gyrus part of cingulum (right)|x25493_0_0
x25494_0_0	Weighted-mean FA in tract parahippocampal part of cingulum (left)|x25494_0_0
x25495_0_0	Weighted-mean FA in tract parahippocampal part of cingulum (right)|x25495_0_0
x25496_0_0	Weighted-mean FA in tract corticospinal tract (left)|x25496_0_0
x25497_0_0	Weighted-mean FA in tract corticospinal tract (right)|x25497_0_0
x25498_0_0	Weighted-mean FA in tract forceps major|x25498_0_0
x25499_0_0	Weighted-mean FA in tract forceps minor|x25499_0_0
x25500_0_0	Weighted-mean FA in tract inferior fronto-occipital fasciculus (left)|x25500_0_0
x25501_0_0	Weighted-mean FA in tract inferior fronto-occipital fasciculus (right)|x25501_0_0
x25502_0_0	Weighted-mean FA in tract inferior longitudinal fasciculus (left)|x25502_0_0
x25503_0_0	Weighted-mean FA in tract inferior longitudinal fasciculus (right)|x25503_0_0
x25504_0_0	Weighted-mean FA in tract middle cerebellar peduncle|x25504_0_0
x25505_0_0	Weighted-mean FA in tract medial lemniscus (left)|x25505_0_0
x25506_0_0	Weighted-mean FA in tract medial lemniscus (right)|x25506_0_0
x25507_0_0	Weighted-mean FA in tract posterior thalamic radiation (left)|x25507_0_0
x25508_0_0	Weighted-mean FA in tract posterior thalamic radiation (right)|x25508_0_0
x25509_0_0	Weighted-mean FA in tract superior longitudinal fasciculus (left)|x25509_0_0
x25510_0_0	Weighted-mean FA in tract superior longitudinal fasciculus (right)|x25510_0_0
x25511_0_0	Weighted-mean FA in tract superior thalamic radiation (left)|x25511_0_0
x25512_0_0	Weighted-mean FA in tract superior thalamic radiation (right)|x25512_0_0
x25513_0_0	Weighted-mean FA in tract uncinate fasciculus (left)|x25513_0_0
x25514_0_0	Weighted-mean FA in tract uncinate fasciculus (right)|x25514_0_0
x25515_0_0	Weighted-mean MD in tract acoustic radiation (left)|x25515_0_0
x25516_0_0	Weighted-mean MD in tract acoustic radiation (right)|x25516_0_0
x25517_0_0	Weighted-mean MD in tract anterior thalamic radiation (left)|x25517_0_0
x25518_0_0	Weighted-mean MD in tract anterior thalamic radiation (right)|x25518_0_0
x25519_0_0	Weighted-mean MD in tract cingulate gyrus part of cingulum (left)|x25519_0_0
x25520_0_0	Weighted-mean MD in tract cingulate gyrus part of cingulum (right)|x25520_0_0
x25521_0_0	Weighted-mean MD in tract parahippocampal part of cingulum (left)|x25521_0_0
x25522_0_0	Weighted-mean MD in tract parahippocampal part of cingulum (right)|x25522_0_0
x25523_0_0	Weighted-mean MD in tract corticospinal tract (left)|x25523_0_0
x25524_0_0	Weighted-mean MD in tract corticospinal tract (right)|x25524_0_0
x25525_0_0	Weighted-mean MD in tract forceps major|x25525_0_0
x25526_0_0	Weighted-mean MD in tract forceps minor|x25526_0_0
x25527_0_0	Weighted-mean MD in tract inferior fronto-occipital fasciculus (left)|x25527_0_0
x25528_0_0	Weighted-mean MD in tract inferior fronto-occipital fasciculus (right)|x25528_0_0
x25529_0_0	Weighted-mean MD in tract inferior longitudinal fasciculus (left)|x25529_0_0
x25530_0_0	Weighted-mean MD in tract inferior longitudinal fasciculus (right)|x25530_0_0
x25531_0_0	Weighted-mean MD in tract middle cerebellar peduncle|x25531_0_0
x25532_0_0	Weighted-mean MD in tract medial lemniscus (left)|x25532_0_0
x25533_0_0	Weighted-mean MD in tract medial lemniscus (right)|x25533_0_0
x25534_0_0	Weighted-mean MD in tract posterior thalamic radiation (left)|x25534_0_0
x25535_0_0	Weighted-mean MD in tract posterior thalamic radiation (right)|x25535_0_0
x25536_0_0	Weighted-mean MD in tract superior longitudinal fasciculus (left)|x25536_0_0
x25537_0_0	Weighted-mean MD in tract superior longitudinal fasciculus (right)|x25537_0_0
x25538_0_0	Weighted-mean MD in tract superior thalamic radiation (left)|x25538_0_0
x25539_0_0	Weighted-mean MD in tract superior thalamic radiation (right)|x25539_0_0
x25540_0_0	Weighted-mean MD in tract uncinate fasciculus (left)|x25540_0_0
x25541_0_0	Weighted-mean MD in tract uncinate fasciculus (right)|x25541_0_0
x25542_0_0	Weighted-mean MO in tract acoustic radiation (left)|x25542_0_0
x25543_0_0	Weighted-mean MO in tract acoustic radiation (right)|x25543_0_0
x25544_0_0	Weighted-mean MO in tract anterior thalamic radiation (left)|x25544_0_0
x25545_0_0	Weighted-mean MO in tract anterior thalamic radiation (right)|x25545_0_0
x25546_0_0	Weighted-mean MO in tract cingulate gyrus part of cingulum (left)|x25546_0_0
x25547_0_0	Weighted-mean MO in tract cingulate gyrus part of cingulum (right)|x25547_0_0
x25548_0_0	Weighted-mean MO in tract parahippocampal part of cingulum (left)|x25548_0_0
x25549_0_0	Weighted-mean MO in tract parahippocampal part of cingulum (right)|x25549_0_0
x25550_0_0	Weighted-mean MO in tract corticospinal tract (left)|x25550_0_0
x25551_0_0	Weighted-mean MO in tract corticospinal tract (right)|x25551_0_0
x25552_0_0	Weighted-mean MO in tract forceps major|x25552_0_0
x25553_0_0	Weighted-mean MO in tract forceps minor|x25553_0_0
x25554_0_0	Weighted-mean MO in tract inferior fronto-occipital fasciculus (left)|x25554_0_0
x25555_0_0	Weighted-mean MO in tract inferior fronto-occipital fasciculus (right)|x25555_0_0
x25556_0_0	Weighted-mean MO in tract inferior longitudinal fasciculus (left)|x25556_0_0
x25557_0_0	Weighted-mean MO in tract inferior longitudinal fasciculus (right)|x25557_0_0
x25558_0_0	Weighted-mean MO in tract middle cerebellar peduncle|x25558_0_0
x25559_0_0	Weighted-mean MO in tract medial lemniscus (left)|x25559_0_0
x25560_0_0	Weighted-mean MO in tract medial lemniscus (right)|x25560_0_0
x25561_0_0	Weighted-mean MO in tract posterior thalamic radiation (left)|x25561_0_0
x25562_0_0	Weighted-mean MO in tract posterior thalamic radiation (right)|x25562_0_0
x25563_0_0	Weighted-mean MO in tract superior longitudinal fasciculus (left)|x25563_0_0
x25564_0_0	Weighted-mean MO in tract superior longitudinal fasciculus (right)|x25564_0_0
x25565_0_0	Weighted-mean MO in tract superior thalamic radiation (left)|x25565_0_0
x25566_0_0	Weighted-mean MO in tract superior thalamic radiation (right)|x25566_0_0
x25567_0_0	Weighted-mean MO in tract uncinate fasciculus (left)|x25567_0_0
x25568_0_0	Weighted-mean MO in tract uncinate fasciculus (right)|x25568_0_0
x25569_0_0	Weighted-mean L1 in tract acoustic radiation (left)|x25569_0_0
x25570_0_0	Weighted-mean L1 in tract acoustic radiation (right)|x25570_0_0
x25571_0_0	Weighted-mean L1 in tract anterior thalamic radiation (left)|x25571_0_0
x25572_0_0	Weighted-mean L1 in tract anterior thalamic radiation (right)|x25572_0_0
x25573_0_0	Weighted-mean L1 in tract cingulate gyrus part of cingulum (left)|x25573_0_0
x25574_0_0	Weighted-mean L1 in tract cingulate gyrus part of cingulum (right)|x25574_0_0
x25575_0_0	Weighted-mean L1 in tract parahippocampal part of cingulum (left)|x25575_0_0
x25576_0_0	Weighted-mean L1 in tract parahippocampal part of cingulum (right)|x25576_0_0
x25577_0_0	Weighted-mean L1 in tract corticospinal tract (left)|x25577_0_0
x25578_0_0	Weighted-mean L1 in tract corticospinal tract (right)|x25578_0_0
x25579_0_0	Weighted-mean L1 in tract forceps major|x25579_0_0
x25580_0_0	Weighted-mean L1 in tract forceps minor|x25580_0_0
x25581_0_0	Weighted-mean L1 in tract inferior fronto-occipital fasciculus (left)|x25581_0_0
x25582_0_0	Weighted-mean L1 in tract inferior fronto-occipital fasciculus (right)|x25582_0_0
x25583_0_0	Weighted-mean L1 in tract inferior longitudinal fasciculus (left)|x25583_0_0
x25584_0_0	Weighted-mean L1 in tract inferior longitudinal fasciculus (right)|x25584_0_0
x25585_0_0	Weighted-mean L1 in tract middle cerebellar peduncle|x25585_0_0
x25586_0_0	Weighted-mean L1 in tract medial lemniscus (left)|x25586_0_0
x25587_0_0	Weighted-mean L1 in tract medial lemniscus (right)|x25587_0_0
x25588_0_0	Weighted-mean L1 in tract posterior thalamic radiation (left)|x25588_0_0
